22;% of failure; OTHER; 2/9
22;% of failure; Linux; 2/9
50;% of failure; UBUNTU; 2/4
8;% of failure; TABLET; 6/75
23;% of failure; LINUX; 5/21
50;% of failure; Ubuntu; 2/4
28;% of failure; IOS; 33/115
3;% of failure; Android; 2/60
37;% of failure; APPLE; 69/186
5;% of failure; ANDROID5; 1/17
6;% of failure; ANDROID6; 2/31
100;% of failure; UNKNOWN; 1/1
100;% of failure; BOT null; 1/1
4;% of failure; Windows 8; 1/25
5;% of failure; Windows 7; 2/37
5;% of failure; WINDOWS_7; 2/37
4;% of failure; WINDOWS_8; 1/25
4;% of failure; MOBILE; 56/1226
2;% of failure; GOOGLE; 33/1211
50;% of failure; CONONICAL; 2/4
2;% of failure; ANDROID; 31/1244
13;% of failure; WINDOWS; 40/297
50;% of failure; Mac OS X; 36/71
14;% of failure; Chrome OS; 4/27
4;% of failure; WINDOWS_81; 1/25
3;% of failure; ANDROID1; 12/391
14;% of failure; CHROME_OS; 8/54
50;% of failure; MAC_OS_X; 72/142
100;% of failure; Windows XP; 1/1
6;% of failure; Android 6.x; 2/31
5;% of failure; Android 5.x; 1/17
100;% of failure; WINDOWS_XP; 1/1
4;% of failure; Windows 8.1; 1/25
20;% of failure; COMPUTER; 84/405
33;% of failure; FIREFOX 52.0; 1/3
25;% of failure; FIREFOX 68.0; 2/8
13;% of failure; MICROSOFT; 40/296
17;% of failure; Windows 10; 35/203
14;% of failure; EDGE 18.18362; 1/7
17;% of failure; WINDOWS_10; 35/203
3;% of failure; Android 1.x; 12/391
50;% of failure; FIREFOX7 76.0; 1/2
40;% of failure; EDGE 18.17763; 2/5
76;% of failure; SAFARI 13.1; 10/13
23;% of failure; MAC_OS_X_IPAD; 4/17
47;% of failure; EDGE 18.19041; 9/19
20;% of failure; EDGE 18.18363; 4/20
100;% of failure; SAFARI 13.0.4; 3/3
100;% of failure; SAFARI 13.0.3; 1/1
2;% of failure; ANDROID5_TABLET; 1/36
11;% of failure; ANDROID4_TABLET; 1/9
85;% of failure; SAFARI 13.0.5; 12/14
31;% of failure; FIREFOX7 75.0; 14/44
1;% of failure; ANDROID_MOBILE; 10/632
1;% of failure; Android Mobile; 10/632
23;% of failure; Mac OS X (iPad); 4/17
33;% of failure; MAC_OS_X_IPHONE; 29/86
11;% of failure; Android 4.x Tablet; 1/9
2;% of failure; Android 5.x Tablet; 1/36
87;% of failure; MOBILE_SAFARI 13.1; 7/8
33;% of failure; Mac OS X (iPhone); 29/86
5;% of failure; CHROME 78.0.3904.70; 1/17
33;% of failure; FIREFOX_MOBILE 68.0; 1/3
50;% of failure; MOBILE_SAFARI 12.1.2; 1/2
25;% of failure; CHROME8 81.0.4044.94; 1/4
3;% of failure; CHROME8 80.0.3987.162; 1/33
100;% of failure; CHROME 66.0.3359.181; 1/1
9;% of failure; CHROME8 81.0.4044.117; 2/21
